HH Size,HH Income,Mean HH Age,Rent,Latest Subsidy,First Subsidy,Late Fees?,Military,Disability,PrimaryIncome,Negative,Validation Stratified by Negative
3,5244,11.56,383,0,0,Y,No,NA,T,0,Training
1,19086,33.55,390,0,0,N,NA,NA,W,0,Training
1,8652,23.19,640,0,0,Y,NA,NA,SS,0,Training
1,15160,72.27,595,119,0,N,No,No,SS,0,Training
1,11213,43.18,440,145,114,Y,NA,NA,SS,0,Training
1,13177,30.22,852,479,479,Y,NA,NA,W,0,Training
1,8376,45.31,411,0,0,Y,NA,NA,SS,0,Training
1,19997,75.53,828,516,489,N,NA,NA,SS,0,Training
1,16640,49.23,435,0,0,N,NA,NA,NA,0,Training
1,19152,,798,0,0,N,NA,NA,NA,0,Training
1,31000,35.42,850,0,0,Y,NA,NA,NA,0,Training
2,36000,31.3,1130,0,0,N,NA,NA,NA,0,Training
4,48996,28.68,1245,0,0,N,NA,NA,NA,0,Training
1,12000,24.47,499,0,0,Y,NA,NA,NA,0,Training
1,36000,35.66,820,0,0,N,NA,NA,NA,0,Training
1,8231,58.16,432,0,0,Y,NA,NA,SS,0,Training
1,13000,26.43,589,589,589,N,NA,NA,N,0,Training
1,13440,,560,0,0,N,NA,NA,NA,0,Training
1,20300,32.19,552,0,0,Y,NA,NA,F,0,Training
1,1140,33.63,709,650,611,N,No,No,G,0,Training
1,3600,44.24,631,631,631,N,NA,NA,N,0,Training
1,10540,65.72,595,362,0,N,No,No,SS,0,Training
1,14040,25.17,599,0,0,Y,No,NA,W,0,Training
2,32119,32.85,1110,0,0,Y,NA,NA,NA,0,Training
1,48000,31.33,930,0,0,N,NA,NA,NA,0,Training
6,7452,19.17,978,643,739,N,NA,NA,T,0,Training
1,16538,72.84,655,0,0,N,NA,NA,SS,0,Training
1,0,47.97,539,188,185,N,NA,NA,NA,0,Training
2,75000,46.7,1392,0,0,N,No,NA,NA,0,Training
2,48991,27.78,1200,0,0,N,NA,NA,NA,0,Training
1,22200,58.37,838,0,0,N,NA,NA,B,0,Training
